1;login;2011-03-26 02:12:15;2
2;login;2011-03-26 02:18:19;2
3;login;2011-03-26 08:59:08;2
4;logout;2011-03-26 09:09:58;2
5;login;2011-03-26 09:22:53;2
6;logout;2011-03-26 10:37:59;2
7;login;2011-03-26 10:38:17;2
8;logout;2011-03-26 11:15:24;2
9;login;2011-03-26 11:15:33;3
10;login;2011-03-26 11:16:27;2
11;logout;2011-03-26 11:17:14;2
12;login;2011-03-26 11:17:31;2
13;logout;2011-03-26 11:18:31;2
14;login;2011-03-26 11:19:10;2
15;logout;2011-03-26 11:20:08;2
16;login;2011-03-26 11:20:21;3
17;logout;2011-03-26 11:20:35;3
18;login;2011-03-26 11:26:25;3
19;logout;2011-03-26 11:26:48;3
20;login;2011-03-26 11:26:56;2
21;login;2011-03-26 11:27:17;2
22;login;2011-03-26 11:38:42;2
23;login;2011-03-26 11:43:29;3
24;login;2011-03-26 15:06:36;3
25;logout;2011-03-26 15:06:51;3
26;login;2011-03-26 15:08:48;2
27;login;2011-03-26 15:08:57;2
